,demographics_key,dissemination_area,population,median_age,total_dwellings,average_household_size,median_household_income,mother_tongue_official_percentage,mother_tongue_unofficial_percentage,census_year
137,201135010299,35010299,517,44.6,200,2.6,34688.0,100.0,0.0,2011
138,201135010300,35010300,596,41.3,210,2.8,36672.0,100.0,0.0,2011
139,201135010301,35010301,461,43.9,180,2.5,33024.0,100.0,0.0,2011
140,201135010302,35010302,623,44.7,270,2.3,29824.0,100.0,0.0,2011
141,201135010303,35010303,480,48.9,185,2.5,28160.0,100.0,0.0,2011
142,201135010304,35010304,526,54.0,170,2.4,28224.0,100.0,0.0,2011
143,201135010305,35010305,407,50.5,165,2.5,44203.0,100.0,0.0,2011
144,201135010306,35010306,484,53.5,215,2.2,37419.0,100.0,0.0,2011
145,201135010307,35010307,474,47.6,195,2.3,27712.0,100.0,0.0,2011
146,201135010308,35010308,494,50.4,225,2.2,29376.0,100.0,0.0,2011
147,201135010309,35010309,416,42.9,180,2.2,24768.0,100.0,0.0,2011
148,201135010310,35010310,507,52.0,245,2.0,31808.0,99.0,1.0,2011
149,201135010311,35010311,637,46.7,260,2.5,27456.0,100.0,0.0,2011
150,201135010312,35010312,488,43.0,185,2.7,29312.0,100.0,0.0,2011
151,201135010313,35010313,677,44.9,270,2.5,41771.0,100.0,0.0,2011
152,201135010314,35010314,547,49.6,240,2.3,34560.0,100.0,0.0,2011
153,201135010315,35010315,706,48.3,275,2.6,35661.0,100.0,0.0,2011
154,201135010316,35010316,376,48.0,160,2.3,31296.0,100.0,0.0,2011
155,201135010317,35010317,633,43.1,260,2.4,39987.0,100.0,0.0,2011
156,201135010318,35010318,612,47.9,250,2.2,32832.0,100.0,0.0,2011
157,201135010319,35010319,596,51.9,185,2.6,39381.0,100.0,0.0,2011
158,201135010320,35010320,697,47.6,265,2.6,53205.0,100.0,0.0,2011
159,201135010321,35010321,391,46.5,145,2.6,33408.0,100.0,0.0,2011
160,201135010322,35010322,482,41.2,180,2.7,35136.0,100.0,0.0,2011
161,201135010323,35010323,650,54.0,280,2.3,39104.0,100.0,0.0,2011
162,201135010324,35010324,608,45.8,260,2.3,30944.0,100.0,0.0,2011
163,201135010325,35010325,481,48.3,245,2.0,28592.0,100.0,0.0,2011
164,201135010326,35010326,473,48.0,195,2.4,30656.0,100.0,0.0,2011
165,201135010327,35010327,561,45.3,215,2.6,32224.0,100.0,0.0,2011
166,201135010328,35010328,486,43.8,180,2.8,31296.0,100.0,0.0,2011
167,201135010329,35010329,464,44.0,195,2.4,38464.0,100.0,0.0,2011
168,201135010330,35010330,449,43.1,170,2.6,33600.0,100.0,0.0,2011
169,201135010331,35010331,470,43.8,180,2.6,36352.0,100.0,0.0,2011
