,demographics_key,dissemination_area,population,average_age,median_age,total_dwellings,average_household_size,median_household_income,mother_tongue_official_percentage,mother_tongue_unofficial_percentage,census_year
8490,202135204386,35204386,732,38.2,39.6,280,2.7,146000.0,82.31,17.69,2021
8491,202135204387,35204387,601,44.7,45.2,310,2.0,85000.0,73.33,26.67,2021
8492,202135204388,35204388,537,40.9,42.8,200,2.7,152000.0,79.63,20.37,2021
8493,202135204389,35204389,1668,39.7,34.8,905,1.8,79500.0,66.17,33.83,2021
8494,202135204390,35204390,1113,39.6,35.6,705,1.6,55600.0,52.7,47.3,2021
8495,202135204391,35204391,599,53.9,56.4,160,2.9,118000.0,54.17,45.83,2021
8496,202135204392,35204392,656,40.0,37.6,300,2.2,70000.0,56.06,43.94,2021
8497,202135204393,35204393,482,52.7,55.6,155,2.8,92000.0,43.02,56.98,2021
8498,202135204394,35204394,471,50.9,53.2,180,2.6,98000.0,45.74,54.26,2021
8499,202135204395,35204395,627,44.2,46.0,210,2.9,100000.0,51.61,48.39,2021
8500,202135204396,35204396,927,45.9,47.2,370,2.5,80000.0,50.0,50.0,2021
8501,202135204397,35204397,1141,41.4,42.0,415,2.8,75000.0,49.56,50.44,2021
8502,202135204398,35204398,549,41.5,42.0,195,2.8,73000.0,50.91,49.09,2021
8503,202135204399,35204399,949,43.6,44.4,360,2.6,70000.0,52.11,47.89,2021
8504,202135204400,35204400,404,50.6,52.8,150,2.7,110000.0,45.68,54.32,2021
8505,202135204401,35204401,1519,36.0,34.0,555,2.7,62000.0,68.42,31.58,2021
8506,202135204402,35204402,1732,42.5,42.0,590,2.7,66500.0,61.63,38.37,2021
8507,202135204403,35204403,615,40.7,40.0,225,2.7,94000.0,58.54,41.46,2021
8508,202135204404,35204404,508,42.2,43.2,190,2.7,102000.0,65.69,34.31,2021
8509,202135204405,35204405,679,41.6,40.8,240,2.8,96000.0,52.21,47.79,2021
8510,202135204406,35204406,410,45.1,48.8,125,3.2,110000.0,52.44,47.56,2021
8511,202135204407,35204407,518,40.0,39.2,185,2.8,65000.0,58.25,41.75,2021
8512,202135204408,35204408,556,39.4,38.0,200,2.8,84000.0,71.17,28.83,2021
8513,202135204409,35204409,399,37.7,37.6,145,2.7,89000.0,70.89,29.11,2021
8514,202135204410,35204410,967,45.7,46.8,475,2.0,70500.0,49.74,50.26,2021
8515,202135204411,35204411,582,41.6,40.8,320,1.8,27400.0,62.39,37.61,2021
8516,202135204412,35204412,1419,44.2,42.8,525,2.4,48400.0,76.42,23.58,2021
8517,202135204413,35204413,951,31.8,29.8,320,3.0,62400.0,60.0,40.0,2021
8518,202135204414,35204414,1410,45.0,45.6,775,1.8,34800.0,53.55,46.45,2021
8519,202135204415,35204415,1571,38.8,34.0,835,1.9,52400.0,71.66,28.34,2021
8520,202135204416,35204416,475,38.7,38.0,195,2.4,81000.0,61.05,38.95,2021
8521,202135204417,35204417,432,41.4,43.2,170,2.5,81000.0,67.44,32.56,2021
8522,202135204418,35204418,233,45.8,44.4,90,2.6,,73.91,26.09,2021
8523,202135204419,35204419,506,40.1,41.2,175,2.9,129000.0,70.59,29.41,2021
8524,202135204420,35204420,438,43.7,45.6,180,2.5,110000.0,76.14,23.86,2021
8525,202135204421,35204421,536,41.2,40.4,210,2.5,100000.0,71.03,28.97,2021
8526,202135204422,35204422,504,43.0,44.4,195,2.6,104000.0,69.31,30.69,2021
8527,202135204423,35204423,489,42.5,43.6,215,2.3,63600.0,62.24,37.76,2021
8528,202135204424,35204424,898,41.4,40.8,360,2.5,86000.0,64.44,35.56,2021
8529,202135204425,35204425,560,39.0,38.0,210,2.7,87000.0,66.96000000000001,33.04,2021
8530,202135204426,35204426,2592,36.3,35.2,1140,2.3,56000.0,67.44,32.56,2021
8531,202135204427,35204427,1166,32.7,31.0,400,2.9,67500.0,66.09,33.91,2021
8532,202135204430,35204430,953,38.0,37.6,350,2.7,67000.0,50.53,49.47,2021
8533,202135204431,35204431,598,46.1,49.6,225,2.6,121000.0,62.18,37.82,2021
8534,202135204433,35204433,517,44.2,46.4,180,2.9,131000.0,56.31,43.69,2021
8535,202135204434,35204434,508,46.6,49.2,190,2.7,109000.0,53.92,46.08,2021
8536,202135204435,35204435,942,42.3,44.0,270,3.5,114000.0,41.27,58.73,2021
8537,202135204438,35204438,556,41.9,42.8,165,3.4,115000.0,42.34,57.66,2021
8538,202135204439,35204439,664,41.0,43.2,180,3.7,121000.0,36.84,63.16,2021
8539,202135204440,35204440,519,40.9,39.6,165,3.1,90000.0,50.0,50.0,2021
8540,202135204441,35204441,520,40.5,39.2,190,2.7,72000.0,46.15,53.85,2021
8541,202135204442,35204442,456,40.3,40.4,155,2.9,84000.0,54.95,45.05,2021
8542,202135204443,35204443,468,40.9,40.4,180,2.6,74500.0,56.99,43.01,2021
8543,202135204444,35204444,395,36.9,36.4,145,2.7,71000.0,63.29,36.71,2021
8544,202135204445,35204445,446,39.7,38.8,170,2.6,73000.0,62.22,37.78,2021
8545,202135204446,35204446,604,34.6,34.0,265,2.3,44400.0,74.38,25.62,2021
8546,202135204447,35204447,449,41.5,42.0,175,2.5,66000.0,60.67,39.33,2021
8547,202135204448,35204448,768,36.9,38.4,310,2.5,59600.0,65.58,34.42,2021
8548,202135204449,35204449,387,40.0,37.6,165,2.4,69500.0,59.74,40.26,2021
8549,202135204450,35204450,422,39.9,38.4,165,2.6,65500.0,59.52,40.48,2021
8550,202135204451,35204451,465,36.7,36.0,180,2.6,67500.0,59.14,40.86,2021
8551,202135204452,35204452,478,40.7,40.8,180,2.7,78000.0,52.63,47.37,2021
8552,202135204453,35204453,964,37.7,36.8,355,2.7,74000.0,51.3,48.7,2021
8553,202135204455,35204455,717,40.4,40.8,330,2.2,60400.0,57.64,42.36,2021
8554,202135204456,35204456,1098,39.4,38.8,460,2.4,58800.0,55.91,44.09,2021
8555,202135204457,35204457,542,42.2,40.8,180,3.0,118000.0,48.62,51.38,2021
8556,202135204458,35204458,1438,42.0,42.0,570,2.5,72000.0,40.42,59.58,2021
8557,202135204460,35204460,514,47.1,48.8,185,2.7,89000.0,45.36,54.64,2021
8558,202135204461,35204461,494,40.4,40.4,200,2.5,87000.0,76.77,23.23,2021
8559,202135204462,35204462,433,42.7,43.2,185,2.3,90000.0,78.16,21.84,2021
8560,202135204465,35204465,1127,47.6,43.2,485,2.0,102000.0,73.03999999999999,26.96,2021
8561,202135204466,35204466,1719,41.2,37.2,1005,1.7,81000.0,60.76,39.24,2021
8562,202135204467,35204467,1117,48.5,44.0,685,1.5,64000.0,62.95,37.05,2021
8563,202135204468,35204468,1887,50.0,48.4,1305,1.4,97000.0,72.68,27.32,2021
8564,202135204469,35204469,1768,39.0,37.2,950,1.9,75500.0,66.00999999999999,33.99,2021
8565,202135204470,35204470,3151,37.6,34.8,1860,1.7,68000.0,49.92,50.08,2021
8566,202135204471,35204471,766,38.1,32.8,205,3.8,106000.0,40.52,59.48,2021
8567,202135204472,35204472,800,39.8,36.0,205,3.9,116000.0,31.25,68.75,2021
8568,202135204473,35204473,423,42.2,38.0,110,4.0,129000.0,34.120000000000005,65.88,2021
8569,202135204474,35204474,3484,38.3,36.0,1365,2.6,83000.0,56.03,43.97,2021
8570,202135204475,35204475,593,44.9,42.4,175,3.4,110000.0,38.14,61.86,2021
8571,202135204476,35204476,434,44.6,44.4,125,3.6,103000.0,30.230000000000004,69.77,2021
8572,202135204477,35204477,450,44.1,42.0,135,3.4,104000.0,40.0,60.0,2021
8573,202135204478,35204478,823,42.5,41.6,200,3.7,113000.0,57.32,42.68,2021
8574,202135204479,35204479,45,37.0,27.6,20,2.6,,66.67,33.33,2021
8575,202135204480,35204480,1209,34.3,31.2,490,2.5,61600.0,71.07,28.93,2021
8576,202135204481,35204481,512,39.0,40.0,185,2.8,153000.0,78.43,21.57,2021
8577,202135204482,35204482,451,38.0,37.2,170,2.5,107000.0,77.38,22.62,2021
8578,202135204483,35204483,433,39.2,36.8,195,2.2,73500.0,69.77,30.23,2021
8579,202135204484,35204484,447,41.1,42.0,165,2.7,103000.0,68.89,31.11,2021
8580,202135204485,35204485,542,41.4,42.0,205,2.6,128000.0,79.63,20.37,2021
8581,202135204486,35204486,463,41.2,42.4,170,2.7,130000.0,74.19,25.81,2021
8582,202135204487,35204487,1752,45.5,46.0,805,2.2,79500.0,41.71,58.29,2021
8583,202135204488,35204488,1768,38.8,37.6,735,2.4,73500.0,42.37,57.63,2021
8584,202135204489,35204489,656,41.1,41.2,270,2.4,86000.0,44.27,55.73,2021
8585,202135204490,35204490,990,44.3,45.6,515,1.9,53200.0,58.59,41.41,2021
8586,202135204491,35204491,505,41.8,41.2,185,2.7,97000.0,62.38,37.62,2021
8587,202135204492,35204492,644,39.7,36.0,265,2.5,111000.0,55.04,44.96,2021
8588,202135204493,35204493,523,41.3,41.6,180,2.9,101000.0,51.43,48.57,2021
8589,202135204494,35204494,758,40.0,42.4,300,2.5,71500.0,54.61,45.39,2021
8590,202135204495,35204495,459,41.9,42.8,160,2.8,137000.0,67.39,32.61,2021
8591,202135204496,35204496,368,40.4,40.0,150,2.5,115000.0,73.97,26.03,2021
8592,202135204497,35204497,399,42.9,44.4,155,2.5,115000.0,73.75,26.25,2021
8593,202135204498,35204498,463,44.8,46.4,190,2.5,126000.0,78.49,21.51,2021
8594,202135204499,35204499,494,40.8,39.6,230,2.2,69000.0,64.65,35.35,2021
8595,202135204500,35204500,657,57.0,66.0,465,1.4,23400.0,54.2,45.8,2021
8596,202135204501,35204501,458,43.6,46.0,185,2.5,138000.0,75.0,25.0,2021
8597,202135204502,35204502,571,38.7,37.2,265,2.1,79500.0,72.17,27.83,2021
8598,202135204503,35204503,555,43.1,40.0,330,1.7,61200.0,54.95,45.05,2021
8599,202135204504,35204504,547,45.0,45.2,245,1.9,91000.0,71.56,28.44,2021
8600,202135204505,35204505,929,47.6,43.6,580,1.6,81000.0,67.2,32.8,2021
8601,202135204506,35204506,855,58.8,65.5,520,1.6,108000.0,70.76,29.24,2021
8602,202135204507,35204507,1026,52.3,53.2,700,1.5,79000.0,77.07,22.93,2021
8603,202135204508,35204508,537,54.0,54.8,305,1.5,98000.0,81.31,18.69,2021
8604,202135204509,35204509,512,47.8,51.2,240,2.2,180000.0,84.31,15.69,2021
8605,202135204510,35204510,568,48.0,51.6,290,2.0,131000.0,85.96000000000001,14.04,2021
8606,202135204511,35204511,613,38.1,39.6,225,2.8,144000.0,79.67,20.33,2021
8607,202135204512,35204512,512,43.7,43.6,220,2.3,98000.0,67.65,32.35,2021
8608,202135204513,35204513,340,38.8,38.8,130,2.7,122000.0,72.06,27.94,2021
8609,202135204514,35204514,424,42.4,40.8,175,2.4,82000.0,72.94,27.06,2021
8610,202135204515,35204515,641,42.9,40.8,260,2.5,97000.0,67.19,32.81,2021
8611,202135204516,35204516,685,43.5,42.4,280,2.4,99000.0,61.31,38.69,2021
8612,202135204517,35204517,426,40.5,40.4,160,2.7,99000.0,63.53,36.47,2021
8613,202135204518,35204518,569,40.3,38.8,215,2.6,95000.0,61.95,38.05,2021
8614,202135204519,35204519,518,40.9,40.4,190,2.6,98000.0,56.44,43.56,2021
8615,202135204520,35204520,679,40.7,39.6,330,2.1,46400.0,43.38,56.62,2021
8616,202135204521,35204521,422,43.7,43.2,180,2.3,78000.0,62.2,37.8,2021
8617,202135204522,35204522,423,42.6,42.0,160,2.6,103000.0,56.47,43.53,2021
8618,202135204523,35204523,624,40.8,39.6,255,2.5,101000.0,71.2,28.8,2021
8619,202135204524,35204524,352,44.6,44.8,145,2.4,99000.0,69.01,30.99,2021
8620,202135204525,35204525,295,44.4,46.0,110,2.7,115000.0,61.02,38.98,2021
8621,202135204526,35204526,570,43.2,44.8,260,2.2,73500.0,60.53,39.47,2021
8622,202135204527,35204527,484,40.8,39.6,180,2.7,137000.0,77.32,22.68,2021
8623,202135204528,35204528,443,43.9,44.8,180,2.5,122000.0,74.16,25.84,2021
8624,202135204529,35204529,505,40.6,41.6,205,2.5,124000.0,80.2,19.8,2021
8625,202135204530,35204530,532,38.2,38.4,195,2.6,147000.0,86.27,13.73,2021
8626,202135204531,35204531,553,41.9,41.6,230,2.4,116000.0,81.98,18.02,2021
8627,202135204532,35204532,442,47.0,45.2,255,1.7,33200.0,59.09,40.91,2021
8628,202135204533,35204533,1172,45.3,42.4,600,1.9,60000.0,57.21,42.79,2021
8629,202135204534,35204534,413,38.4,36.0,220,1.9,74000.0,78.31,21.69,2021
8630,202135204535,35204535,1544,39.3,35.6,900,1.7,68000.0,64.94,35.06,2021
8631,202135204536,35204536,806,39.9,37.6,430,1.9,59200.0,62.73,37.27,2021
8632,202135204537,35204537,685,39.4,39.2,315,2.2,68000.0,68.61,31.39,2021
8633,202135204538,35204538,493,39.1,39.2,190,2.6,134000.0,79.8,20.2,2021
8634,202135204539,35204539,528,39.7,36.4,255,2.0,76500.0,75.24,24.76,2021
8635,202135204540,35204540,570,37.4,35.6,260,2.2,78500.0,80.7,19.3,2021
8636,202135204541,35204541,586,41.4,43.6,225,2.6,130000.0,75.21000000000001,24.79,2021
8637,202135204542,35204542,402,40.8,40.8,160,2.5,128000.0,73.75,26.25,2021
8638,202135204543,35204543,1384,47.5,41.6,955,1.5,62000.0,76.17,23.83,2021
8639,202135204544,35204544,578,62.5,69.5,360,1.6,99000.0,79.13,20.87,2021
8640,202135204545,35204545,484,55.2,56.4,230,1.6,78500.0,65.75,34.25,2021
8641,202135204546,35204546,484,40.5,40.4,175,2.6,87000.0,65.59,34.41,2021
8642,202135204547,35204547,486,38.4,38.4,180,2.7,89000.0,63.92,36.08,2021
8643,202135204548,35204548,1043,39.0,38.4,445,2.4,62400.0,56.94,43.06,2021
8644,202135204549,35204549,385,42.3,41.6,150,2.5,70000.0,50.65,49.35,2021
8645,202135204550,35204550,445,38.4,39.2,165,2.7,83000.0,49.44,50.56,2021
8646,202135204551,35204551,379,41.6,40.8,135,2.8,109000.0,39.47,60.53,2021
8647,202135204552,35204552,450,40.4,40.4,160,2.7,76000.0,46.51,53.49,2021
8648,202135204553,35204553,422,42.0,42.0,150,2.8,105000.0,38.82,61.18,2021
8649,202135204554,35204554,517,41.9,40.0,180,2.8,95000.0,47.12,52.88,2021
8650,202135204555,35204555,554,41.1,40.4,205,2.7,92000.0,50.45,49.55,2021
8651,202135204556,35204556,518,47.2,50.0,250,2.1,83000.0,81.55,18.45,2021
8652,202135204557,35204557,435,43.9,46.0,170,2.5,153000.0,84.88,15.12,2021
8653,202135204558,35204558,767,47.4,45.6,555,1.4,62000.0,80.52,19.48,2021
8654,202135204559,35204559,448,45.1,45.2,235,1.8,62400.0,84.52,15.48,2021
8655,202135204560,35204560,536,41.3,44.8,195,2.7,202000.0,86.67,13.33,2021
8656,202135204561,35204561,598,40.8,42.4,265,2.2,102000.0,85.0,15.0,2021
8657,202135204562,35204562,495,43.5,40.8,285,1.7,55600.0,58.59,41.41,2021
8658,202135204563,35204563,1478,41.0,40.0,745,2.0,61600.0,46.28,53.72,2021
8659,202135204564,35204564,2805,40.7,40.0,1325,2.1,44800.0,48.84,51.16,2021
8660,202135204565,35204565,1711,36.1,32.8,900,1.9,63200.0,49.71,50.29,2021
8661,202135204566,35204566,444,39.7,35.6,275,1.6,57200.0,56.82,43.18,2021
8662,202135204567,35204567,6837,37.6,36.4,3070,2.2,50000.0,45.57,54.43,2021
8663,202135204568,35204568,657,49.0,49.6,335,1.9,42800.0,69.7,30.3,2021
8664,202135204569,35204569,602,40.5,40.8,245,2.5,127000.0,67.77000000000001,32.23,2021
8665,202135204570,35204570,509,41.6,41.6,220,2.3,111000.0,69.61,30.39,2021
8666,202135204571,35204571,828,43.6,44.4,280,2.8,106000.0,36.94,63.06,2021
8667,202135204572,35204572,401,39.8,36.8,175,2.3,77500.0,53.09,46.91,2021
8668,202135204573,35204573,570,41.4,40.4,225,2.5,101000.0,60.53,39.47,2021
8669,202135204574,35204574,1411,36.3,35.6,615,2.2,82000.0,67.87,32.13,2021
8670,202135204575,35204575,579,41.6,38.8,300,1.9,82000.0,72.41,27.59,2021
8671,202135204576,35204576,564,40.9,43.2,270,2.1,86000.0,84.07,15.93,2021
8672,202135204577,35204577,601,41.6,40.0,270,2.2,125000.0,79.17,20.83,2021
8673,202135204578,35204578,2410,36.8,33.2,1540,1.6,82000.0,54.36,45.64,2021
8674,202135204579,35204579,1537,41.3,36.8,1025,1.5,66500.0,57.79,42.21,2021
8675,202135204580,35204580,922,43.1,40.0,615,1.5,57200.0,62.5,37.5,2021
8676,202135204581,35204581,1068,39.0,34.8,650,1.6,67000.0,65.42,34.58,2021
8677,202135204582,35204582,715,43.1,40.4,520,1.4,37600.0,65.71000000000001,34.29,2021
8678,202135204583,35204583,610,44.2,40.0,365,1.5,65000.0,65.78999999999999,34.21,2021
8679,202135204584,35204584,2133,35.5,29.4,1360,1.5,46000.0,44.0,56.0,2021
8680,202135204585,35204585,862,43.2,41.6,580,1.5,79000.0,73.99,26.01,2021
8681,202135204586,35204586,913,35.7,30.2,555,1.6,66000.0,57.14,42.86,2021
8682,202135204587,35204587,392,45.6,47.2,150,2.0,122000.0,67.74000000000001,32.26,2021
8683,202135204589,35204589,1150,34.1,32.8,675,1.7,75500.0,50.87,49.13,2021
8684,202135204590,35204590,878,60.1,60.8,735,1.2,29600.0,77.71000000000001,22.29,2021
8685,202135204591,35204591,1232,43.6,40.4,820,1.5,73000.0,73.58,26.42,2021
8686,202135204592,35204592,1817,34.7,29.4,1095,1.7,55200.0,49.59,50.41,2021
8687,202135204593,35204593,1575,33.5,29.2,1025,1.5,54800.0,42.86,57.14,2021
8688,202135204594,35204594,2102,32.1,27.8,1360,1.5,48400.0,41.67,58.33,2021
8689,202135204595,35204595,1142,36.1,30.6,680,1.7,68500.0,48.03,51.97,2021
8690,202135204596,35204596,667,37.6,32.8,425,1.6,63600.0,55.64,44.36,2021
8691,202135204597,35204597,539,42.0,35.6,325,1.7,73500.0,53.7,46.3,2021
8692,202135204598,35204598,793,35.6,29.8,530,1.5,56000.0,53.8,46.2,2021
8693,202135204599,35204599,298,25.7,21.8,0,,,93.22,6.78,2021
8694,202135204600,35204600,896,66.6,72.0,660,1.4,75000.0,79.44,20.56,2021
8695,202135204601,35204601,543,33.0,29.4,350,1.6,55600.0,53.7,46.3,2021
8696,202135204602,35204602,1930,33.8,27.8,1135,1.7,51200.0,46.63,53.37,2021
8697,202135204603,35204603,921,59.0,66.5,580,1.6,130000.0,80.43,19.57,2021
8698,202135204605,35204605,1177,32.6,29.6,685,1.7,64500.0,38.72,61.28,2021
8699,202135204606,35204606,4204,33.9,29.8,2435,1.7,68500.0,42.38,57.62,2021
8700,202135204607,35204607,1608,32.1,30.4,970,1.7,65500.0,52.48,47.52,2021
8701,202135204608,35204608,867,37.8,34.0,490,1.8,82000.0,49.71,50.29,2021
8702,202135204609,35204609,284,42.8,40.0,150,1.9,44800.0,60.71,39.29,2021
8703,202135204610,35204610,942,31.6,28.2,620,1.5,45600.0,53.76,46.24,2021
