_id,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS,MUNICIPALITY_NAME,CENTRELINE_ID,OBJECTID,ID,STATION,YEAR_BUILD,WARD,WARD_NAME,TYPE_DESC,PUBLIC_ED_OFFICE,FIRE_PREV_OFFICE,FIRE_OTHER,geometry
81,14120199,441,Bloor St E,441 Bloor St E,former Toronto,1141663,4164722,48,313.0,1967.0,13,Toronto Centre,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.3755640527746, 43.6720950557577)}"
82,14076406,235,Cibola Ave,235 Cibola Ave,former Toronto,30086097,4173463,39,335.0,1995.0,10,Spadina-Fort York,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.3590745052274, 43.6254007460108)}"
83,10411391,1285,Dufferin St,1285 Dufferin St,former Toronto,30101053,4256598,35,345.0,1963.0,9,Davenport,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.4382561763956, 43.6673118906754)}"
84,8168331,325,Chaplin Cres,325 Chaplin Cres,former Toronto,8166572,4271268,6,135.0,2014.0,8,Eglinton-Lawrence,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.4187941157764, 43.7031244599412)}"
85,487657,2545,Bayview Ave,2545 Bayview Ave,North York,30107421,4299669,13,122.0,1959.0,15,Don Valley West,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.3837259589611, 43.7486446150086)}"
86,9487007,2733,Brimley Rd,2733 Brimley Rd,Scarborough,30108578,4308527,54,242.0,1975.0,23,Scarborough North,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.2772562802889, 43.8069196445835)}"
87,12491266,1109,Leslie St,1109 Leslie St,North York,30112872,4324089,11,125.0,1985.0,16,Don Valley East,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.3491121871106, 43.721135794691)}"
88,30013624,4100,Keele St,4100 Keele St,North York,30020840,4350759,77,141.0,2011.0,7,Humber River-Black Creek,Fire Station,None,Fire Prevention Office (N),None,"{'type': 'Point', 'coordinates': (-79.4927235946077, 43.7668215104353)}"
89,998837,130,Eighth St,130 Eighth St,Etobicoke,30118412,4352480,23,435.0,1920.0,3,Etobicoke-Lakeshore,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.5069699933954, 43.6011185170765)}"
90,2820826,1550,Midland Ave,1550 Midland Ave,Scarborough,30122712,4393085,58,232.0,1963.0,21,Scarborough Centre,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.2668510713279, 43.7549669455776)}"
91,8292449,59,Curlew Dr,59 Curlew Dr,North York,8292440,4395143,92,233.0,1995.0,16,Don Valley East,Fire Station,Public Education Museum,Fire Prevention Office,FP Special Event Plans and Projects / Quality Assurance / Legal,"{'type': 'Point', 'coordinates': (-79.3143827967515, 43.7439181729465)}"
92,3890947,231,McRae Dr,231 McRae Dr,East York,3890945,4400109,87,321.0,1946.0,15,Don Valley West,Fire Station,None,Fire Prevention Office (N),None,"{'type': 'Point', 'coordinates': (-79.3646982931217, 43.7087140108462)}"
